% Glass Activity Database

@RELATION activity 

@ATTRIBUTE mean NUMERIC
@ATTRIBUTE std NUMERIC
@ATTRIBUTE rms NUMERIC
@ATTRIBUTE xmean NUMERIC
@ATTRIBUTE xstd NUMERIC
@ATTRIBUTE xrms NUMERIC
@ATTRIBUTE ymean NUMERIC
@ATTRIBUTE ystd NUMERIC
@ATTRIBUTE yrms NUMERIC
@ATTRIBUTE zmean NUMERIC
@ATTRIBUTE zstd NUMERIC
@ATTRIBUTE zrms NUMERIC
@ATTRIBUTE class {sitting,standing,walking,running,driving}

@DATA
 9.8073,  0.0490,  9.8074, -0.0246,  0.0569,  0.0619,  9.7666,  0.0485,  9.7667,  0.8885,  0.0527,  0.8900, sitting
 9.8070,  0.0515,  9.8071, -0.0183,  0.0574,  0.0602,  9.7653,  0.0509,  9.7654,  0.9000,  0.0455,  0.9011, sitting
 9.8070,  0.0436,  9.8071,  0.0151,  0.0442,  0.0467,  9.7659,  0.0434,  9.7660,  0.8953,  0.0377,  0.8961, sitting
 9.8071,  0.0387,  9.8071,  0.0434,  0.0455,  0.0628,  9.7626,  0.0391,  9.7627,  0.9298,  0.0432,  0.9308, sitting
 9.8061,  0.0473,  9.8062,  0.0667,  0.0513,  0.0841,  9.7585,  0.0476,  9.7586,  0.9609,  0.0341,  0.9615, sitting
 9.8059,  0.0504,  9.8060,  0.0651,  0.0507,  0.0825,  9.7628,  0.0509,  9.7630,  0.9112,  0.0696,  0.9138, sitting
 9.8055,  0.0433,  9.8056,  0.0601,  0.0519,  0.0794,  9.7653,  0.0435,  9.7654,  0.8821,  0.0560,  0.8839, sitting
 9.8060,  0.0390,  9.8061,  0.0683,  0.0539,  0.0870,  9.7618,  0.0393,  9.7619,  0.9248,  0.0454,  0.9259, sitting
 9.8054,  0.0422,  9.8055,  0.0762,  0.0604,  0.0972,  9.7589,  0.0425,  9.7589,  0.9487,  0.0368,  0.9494, sitting
 9.8030,  0.0483,  9.8031,  0.0846,  0.0631,  0.1055,  9.7523,  0.0486,  9.7524,  0.9881,  0.0543,  0.9896, sitting
 9.8021,  0.0505,  9.8023,  0.0834,  0.0459,  0.0952,  9.7495,  0.0508,  9.7497,  1.0085,  0.0527,  1.0099, sitting
 9.8028,  0.0459,  9.8029,  0.0734,  0.0350,  0.0814,  9.7532,  0.0464,  9.7533,  0.9794,  0.0484,  0.9806, sitting
 9.8039,  0.0420,  9.8040,  0.0666,  0.0338,  0.0747,  9.7550,  0.0423,  9.7551,  0.9744,  0.0339,  0.9750, sitting
 9.8574,  0.1297,  9.8582,  0.1209,  0.2784,  0.3033,  9.8257,  0.1351,  9.8267, -0.2541,  0.6821,  0.7273, standing
 9.8585,  0.0453,  9.8586,  0.0427,  0.0458,  0.0626,  9.8431,  0.0459,  9.8432, -0.5326,  0.1301,  0.5483, standing
 9.8584,  0.0409,  9.8585,  0.1054,  0.0953,  0.1420,  9.8503,  0.0414,  9.8504, -0.3046,  0.2163,  0.3735, standing
 9.8579,  0.0679,  9.8581,  0.1832,  0.1040,  0.2106,  9.8506,  0.0686,  9.8509, -0.0777,  0.3030,  0.3125, standing
 9.8568,  0.0853,  9.8572,  0.2507,  0.2230,  0.3354,  9.8422,  0.0877,  9.8426, -0.2056,  0.3640,  0.4177, standing
 9.8535,  0.0699,  9.8538,  0.3211,  0.2605,  0.4133,  9.8104,  0.0796,  9.8107, -0.7332,  0.3712,  0.8216, standing
 9.8510,  0.0491,  9.8511,  0.3742,  0.2083,  0.4282,  9.7663,  0.0579,  9.7665, -1.1941,  0.2256,  1.2152, standing
 9.8524,  0.0450,  9.8525,  0.4150,  0.1527,  0.4421,  9.7459,  0.0490,  9.7460, -1.3738,  0.0726,  1.3757, standing
 9.8521,  0.0411,  9.8522,  0.4776,  0.1085,  0.4897,  9.7489,  0.0456,  9.7490, -1.3310,  0.1065,  1.3352, standing
 9.8519,  0.0429,  9.8520,  0.5203,  0.1203,  0.5340,  9.7458,  0.0488,  9.7459, -1.3347,  0.1183,  1.3400, standing
 9.8505,  0.0473,  9.8506,  0.4883,  0.0972,  0.4979,  9.7425,  0.0525,  9.7426, -1.3637,  0.0953,  1.3670, standing
 9.8496,  0.0426,  9.8497,  0.4122,  0.1433,  0.4364,  9.7524,  0.0469,  9.7525, -1.3071,  0.0782,  1.3094, standing
 9.8498,  0.0387,  9.8499,  0.5533,  0.2866,  0.6230,  9.7630,  0.0449,  9.7631, -1.1326,  0.1763,  1.1462, standing
 9.8487,  0.0527,  9.8488,  0.6237,  0.2778,  0.6826,  9.7754,  0.0601,  9.7755, -0.9701,  0.1764,  0.9860, standing
 9.8470,  0.0580,  9.8472,  0.3585,  0.2618,  0.4438,  9.8043,  0.0669,  9.8045, -0.7501,  0.2800,  0.8005, standing
 9.8472,  0.0486,  9.8473,  0.1826,  0.1397,  0.2298,  9.8335,  0.0501,  9.8336, -0.4461,  0.1321,  0.4652, standing
 9.8473,  0.0421,  9.8474,  0.1648,  0.0919,  0.1887,  9.8337,  0.0432,  9.8338, -0.4619,  0.1348,  0.4811, standing
 9.8448,  0.0422,  9.8449,  0.1919,  0.0658,  0.2028,  9.8177,  0.0452,  9.8178, -0.6856,  0.1469,  0.7011, standing
 9.8438,  0.0473,  9.8440,  0.1943,  0.0664,  0.2053,  9.7972,  0.0531,  9.7974, -0.9145,  0.1915,  0.9343, standing
 9.8452,  0.0656,  9.8454,  0.2257,  0.1452,  0.2683,  9.8056,  0.0724,  9.8058, -0.7874,  0.2938,  0.8403, standing
 9.8454,  0.0729,  9.8457,  0.3938,  0.2019,  0.4424,  9.8201,  0.0762,  9.8203, -0.5133,  0.1989,  0.5504, standing
 9.8438,  0.0604,  9.8440,  0.5011,  0.1364,  0.5193,  9.8206,  0.0631,  9.8208, -0.3466,  0.2568,  0.4312, standing
 9.8076,  0.1668,  9.8090,  0.1165,  0.3769,  0.3941,  9.7759,  0.1686,  9.7773, -0.0932,  0.6763,  0.6820, standing
 9.8078,  0.0866,  9.8082, -0.1276,  0.3386,  0.3615,  9.7727,  0.0910,  9.7731, -0.6485,  0.3680,  0.7454, standing
 9.8049,  0.0588,  9.8050, -0.2988,  0.1572,  0.3375,  9.7611,  0.0604,  9.7613, -0.8585,  0.0699,  0.8613, standing
 9.8042,  0.0485,  9.8043, -0.2797,  0.0746,  0.2894,  9.7611,  0.0496,  9.7612, -0.8688,  0.0634,  0.8711, standing
 9.8041,  0.1036,  9.8046, -0.2518,  0.0872,  0.2665,  9.7502,  0.1072,  9.7507, -0.9759,  0.1751,  0.9915, standing
 9.8026,  0.1430,  9.8036, -0.2748,  0.0924,  0.2899,  9.7328,  0.1457,  9.7339, -1.1231,  0.1305,  1.1306, standing
 9.8046,  0.2069,  9.8068, -0.2139,  0.1200,  0.2452,  9.7332,  0.2082,  9.7355, -1.1516,  0.0918,  1.1552, standing
 9.8018,  0.2399,  9.8047, -0.1959,  0.1350,  0.2378,  9.7252,  0.2424,  9.7283, -1.1894,  0.1476,  1.1985, standing
 9.8018,  0.2441,  9.8048, -0.1988,  0.1483,  0.2479,  9.7326,  0.2479,  9.7358, -1.1064,  0.2520,  1.1347, standing
 9.8043,  0.2402,  9.8072, -0.1805,  0.1413,  0.2291,  9.7515,  0.2418,  9.7545, -0.9648,  0.2192,  0.9893, standing
 9.8033,  0.2407,  9.8063, -0.1473,  0.1691,  0.2241,  9.7749,  0.2425,  9.7779, -0.5639,  0.4342,  0.7114, standing
 9.8009,  0.2243,  9.8035, -0.1171,  0.1562,  0.1951,  9.7954,  0.2245,  9.7980, -0.0535,  0.2580,  0.2632, standing
 9.7990,  0.1718,  9.8005, -0.1829,  0.2932,  0.3453,  9.7885,  0.1714,  9.7900,  0.0744,  0.2837,  0.2930, standing
 9.7995,  0.1669,  9.8009, -0.0817,  0.3354,  0.3449,  9.7769,  0.1679,  9.7783, -0.1281,  0.5541,  0.5682, standing
 9.7962,  0.1607,  9.7975,  0.1563,  0.1955,  0.2502,  9.7711,  0.1614,  9.7724,  0.1046,  0.6467,  0.6544, standing
 9.7942,  0.1340,  9.7951,  0.3844,  0.1685,  0.4196,  9.7636,  0.1338,  9.7645,  0.5990,  0.2519,  0.6497, standing
 9.7892,  0.1113,  9.7899,  0.4470,  0.1674,  0.4772,  9.7498,  0.1130,  9.7504,  0.6947,  0.2459,  0.7368, standing
 9.9375,  1.3266, 10.0255,  0.4212,  0.8660,  0.9622,  9.8708,  1.3283,  9.9596,  0.0707,  0.6219,  0.6253, walking
 9.9298,  1.3060, 10.0152,  0.5297,  0.7646,  0.9295,  9.8627,  1.3090,  9.9490,  0.4644,  0.4908,  0.6754, walking
 9.9220,  1.3159, 10.0087,  0.9207,  0.8327,  1.2408,  9.7906,  1.3179,  9.8787,  0.5401,  0.8688,  1.0222, walking
 9.9041,  1.2211,  9.9790,  0.8777,  0.7390,  1.1469,  9.8120,  1.2301,  9.8887,  0.1810,  0.6682,  0.6916, walking
 9.9141,  1.3766, 10.0090,  0.6743,  0.7484,  1.0068,  9.8290,  1.3873,  9.9262,  0.6124,  0.5116,  0.7976, walking
 9.8982,  1.3381,  9.9881,  0.5929,  0.7434,  0.9503,  9.8323,  1.3486,  9.9242,  0.3893,  0.4679,  0.6083, walking
 9.9193,  1.3781, 10.0143,  0.7373,  0.8252,  1.1060,  9.8258,  1.3869,  9.9231,  0.5717,  0.5202,  0.7726, walking
 9.9110,  1.3302,  9.9997,  0.5415,  0.8916,  1.0424,  9.8377,  1.3384,  9.9281,  0.3479,  0.4692,  0.5837, walking
 9.9150,  1.2786,  9.9969,  0.7574,  0.8340,  1.1260,  9.8041,  1.2896,  9.8884,  0.8251,  0.4584,  0.9436, walking
 9.8950,  1.2661,  9.9755,  0.7786,  0.8269,  1.1352,  9.7909,  1.2811,  9.8742,  0.7392,  0.4206,  0.8503, walking
 9.8921,  1.3113,  9.9785,  0.7751,  0.7211,  1.0582,  9.7997,  1.3181,  9.8878,  0.4214,  0.7111,  0.8260, walking
 9.9026,  1.2979,  9.9871,  0.8298,  0.7281,  1.1034,  9.8236,  1.3017,  9.9093,  0.3306,  0.4718,  0.5757, walking
 9.9217,  1.4272, 10.0237,  0.9965,  0.8186,  1.2891,  9.6982,  1.4325,  9.8033,  1.4898,  0.6995,  1.6456, walking
10.0516,  1.7575, 10.2038,  0.5702,  0.9901,  1.1417,  9.9366,  1.7580, 10.0906,  0.8497,  0.5216,  0.9967, walking
10.0576,  1.8053, 10.2180,  0.5123,  0.9805,  1.1054,  9.9548,  1.8071, 10.1172,  0.7452,  0.5225,  0.9098, walking
10.0639,  1.8990, 10.2411,  0.5129,  1.0382,  1.1571,  9.9561,  1.9019, 10.1357,  0.7015,  0.5635,  0.8995, walking
10.1025,  2.0431, 10.3066,  0.4647,  1.2875,  1.3676,  9.9808,  2.0468, 10.1881,  0.4644,  0.5855,  0.7468, walking
10.0368,  1.9244, 10.2193,  0.4540,  1.1381,  1.2243,  9.9446,  1.9245, 10.1288,  0.2565,  0.5266,  0.5853, walking
10.0802,  1.9357, 10.2641,  0.3218,  1.0660,  1.1125, 10.0044,  1.9355, 10.1895,  0.1341,  0.5192,  0.5357, walking
10.1099,  2.0065, 10.3067,  0.2900,  1.1499,  1.1848, 10.0275,  2.0087, 10.2264,  0.0772,  0.4898,  0.4954, walking
10.0533,  1.9766, 10.2454,  0.3181,  1.1491,  1.1913,  9.9716,  1.9745, 10.1648,  0.0889,  0.4668,  0.4748, walking
10.0282,  1.9262, 10.2111,  0.2543,  0.9536,  0.9860,  9.9674,  1.9237, 10.1509,  0.1020,  0.4928,  0.5027, walking
10.0603,  2.0729, 10.2712,  0.5158,  1.0680,  1.1851,  9.9637,  2.0600, 10.1740,  0.2925,  0.7056,  0.7631, walking
10.0735,  2.1127, 10.2923,  0.4426,  1.1009,  1.1855,  9.9855,  2.1039, 10.2043, -0.2192,  0.5920,  0.6307, walking
10.0894,  2.0395, 10.2931,  0.4923,  1.1730,  1.2711,  9.9820,  2.0315, 10.1862, -0.3778,  0.6567,  0.7570, walking
10.0371,  1.9509, 10.2246,  0.6620,  1.1376,  1.3152,  9.9285,  1.9463, 10.1171, -0.1357,  0.6627,  0.6758, walking
10.0826,  1.9423, 10.2676,  0.7369,  1.0568,  1.2875,  9.9799,  1.9423, 10.1668,  0.1913,  0.6064,  0.6353, walking
10.1053,  1.9643, 10.2940,  0.7621,  1.0011,  1.2574, 10.0040,  1.9613, 10.1941,  0.1881,  0.6582,  0.6839, walking
10.0421,  1.9616, 10.2316,  0.8066,  0.9813,  1.2695,  9.9451,  1.9617, 10.1364,  0.1197,  0.5597,  0.5718, walking
10.0714,  2.0048, 10.2686,  0.7727,  1.0171,  1.2766,  9.9760,  2.0059, 10.1753,  0.1767,  0.4978,  0.5278, walking
10.0492,  1.6350, 10.1811,  0.5924,  0.9308,  1.1026,  9.9659,  1.6466, 10.1007,  0.3121,  0.5624,  0.6427, walking
10.0407,  1.6192, 10.1701,  0.5761,  0.9425,  1.1038,  9.9443,  1.6334, 10.0773,  0.5578,  0.5931,  0.8138, walking
10.0226,  1.6509, 10.1574,  0.5365,  0.8103,  0.9711,  9.9373,  1.6551, 10.0739,  0.4990,  0.7049,  0.8631, walking
 9.9922,  1.5724, 10.1149,  0.3441,  0.7989,  0.8691,  9.9396,  1.5792, 10.0641,  0.0489,  0.5185,  0.5203, walking
 9.9879,  1.6089, 10.1164,  0.4110,  0.7917,  0.8913,  9.9248,  1.6159, 10.0553,  0.3885,  0.5372,  0.6626, walking
 9.9916,  1.5355, 10.1086,  0.4384,  0.8121,  0.9222,  9.9331,  1.5444, 10.0522,  0.1939,  0.5001,  0.5359, walking
 9.9785,  7.1834, 12.2911, -0.2655,  2.0987,  2.1134,  9.2230,  7.6554, 11.9814, -0.9218,  1.4854,  1.7469, running
10.0675,  7.1762, 12.3593, -0.2807,  1.9761,  1.9941,  9.3845,  7.5613, 12.0470, -1.1569,  1.5204,  1.9093, running
10.0418,  7.0985, 12.2934,  0.0064,  1.8687,  1.8669,  9.4695,  7.3496, 11.9826, -1.2578,  1.5755,  2.0148, running
10.0038,  6.9278, 12.1646,  0.2209,  1.8251,  1.8367,  9.5325,  7.1556, 11.9152, -0.5931,  1.5116,  1.6224, running
10.0040,  6.9231, 12.1620,  0.1946,  1.8804,  1.8886,  9.5491,  7.1911, 11.9497, -0.2945,  1.2115,  1.2457, running
10.0276,  6.8717, 12.1524,  0.4081,  1.9978,  2.0372,  9.5775,  7.1106, 11.9244, -0.1949,  1.1419,  1.1573, running
10.1427,  6.7056, 12.1553,  0.5644,  1.8701,  1.9517,  9.7043,  6.9457, 11.9299,  0.1483,  1.2650,  1.2725, running
10.0501,  6.4684, 11.9484,  0.1571,  1.7371,  1.7425,  9.6092,  6.7647, 11.7477,  0.6540,  1.1375,  1.3111, running
10.1240,  6.3717, 11.9588,  0.3646,  1.9437,  1.9757,  9.6451,  6.6108, 11.6895,  1.0130,  1.2008,  1.5701, running
10.1792,  6.6473, 12.1539,  0.2236,  2.1817,  2.1910,  9.6394,  6.9190, 11.8616,  0.6895,  1.3216,  1.4896, running
10.0406,  6.9795, 12.2243,  0.1667,  2.1562,  2.1605,  9.5511,  7.2483, 11.9858, -0.0329,  1.0522,  1.0517, running
10.0564,  6.8891, 12.1860,  0.1997,  2.2108,  2.2177,  9.4973,  7.1781, 11.9005,  0.1813,  1.3889,  1.3993, running
10.1629,  6.8521, 12.2533,  0.3626,  2.3098,  2.3358,  9.5340,  7.1886, 11.9361,  0.3544,  1.4475,  1.4889, running
10.2532,  6.8940, 12.3516,  0.4867,  2.3849,  2.4318,  9.6251,  7.2325, 12.0353,  0.5724,  1.2146,  1.3416, running
10.1035,  6.8853, 12.2227,  0.2130,  2.3295,  2.3370,  9.5100,  7.2064, 11.9277,  0.5582,  1.1636,  1.2895, running
 9.9671,  6.6015, 11.9515,  0.1903,  2.1486,  2.1550,  9.3798,  6.9599, 11.6759,  0.3322,  1.3273,  1.3669, running
10.5890,  6.7722, 12.5658,  0.1004,  2.1933,  2.1935,  9.4481,  7.8123, 12.2548,  1.3181,  1.0828,  1.7051, running
10.2496,  6.4614, 12.1129,  0.4030,  2.0238,  2.0616,  9.6286,  6.8580, 11.8174,  0.1072,  1.6780,  1.6797, running
10.1763,  6.4994, 12.0713,  0.3266,  1.9290,  1.9546,  9.6217,  6.8617, 11.8139,  0.6105,  1.4002,  1.5262, running
10.5129,  6.5386, 12.3770,  0.5813,  2.1674,  2.2420,  9.7029,  7.1149, 12.0279,  1.0015,  1.5800,  1.8694, running
10.5558,  6.6673, 12.4817,  0.7260,  2.3014,  2.4110,  9.7504,  7.1586, 12.0920,  1.1133,  1.5899,  1.9396, running
10.6171,  6.7203, 12.5617, -0.1023,  2.4090,  2.4089,  9.2116,  7.8987, 12.1293,  1.4803,  1.6390,  2.2073, running
10.6443,  6.8774, 12.6692,  0.2127,  2.3655,  2.3727,  9.3490,  8.0448, 12.3287,  1.1276,  1.2700,  1.6975, running
 9.8991,  0.4407,  9.9089,  0.3353,  0.2520,  0.4193,  9.7554,  0.4427,  9.7654, -1.5200,  0.5806,  1.6269, driving
 9.9193,  0.3546,  9.9256,  0.3357,  0.2551,  0.4214,  9.7860,  0.3777,  9.7933, -1.4129,  0.6607,  1.5595, driving
 9.9039,  0.4593,  9.9146,  0.0955,  0.2497,  0.2671,  9.8693,  0.4586,  9.8799, -0.2972,  0.7265,  0.7843, driving
 9.9034,  0.4075,  9.9118,  0.3128,  0.3317,  0.4557,  9.8712,  0.4124,  9.8797,  0.5016,  0.4185,  0.6530, driving
 9.8947,  0.5217,  9.9084,  0.4707,  0.3918,  0.6122,  9.8309,  0.5270,  9.8450,  0.5504,  0.7582,  0.9363, driving
 9.9005,  0.6274,  9.9203,  0.3878,  0.3867,  0.5474,  9.8391,  0.6327,  9.8594,  0.5634,  0.7674,  0.9515, driving
 9.9250,  0.7567,  9.9537,  0.3532,  0.2752,  0.4475,  9.8878,  0.7633,  9.9171,  0.6489,  0.3255,  0.7258, driving
 9.9304,  0.7312,  9.9572,  0.4503,  0.2488,  0.5143,  9.8917,  0.7376,  9.9192,  0.6359,  0.2968,  0.7017, driving
 9.9016,  0.5701,  9.9180,  0.5984,  0.2284,  0.6405,  9.8626,  0.5746,  9.8793,  0.5270,  0.2805,  0.5969, driving
 9.8963,  0.5759,  9.9130,  0.7210,  0.2206,  0.7540,  9.8580,  0.5794,  9.8750,  0.3499,  0.2464,  0.4278, driving
 9.9094,  0.5221,  9.9231,  0.6923,  0.2279,  0.7288,  9.8744,  0.5238,  9.8883,  0.3215,  0.2375,  0.3995, driving
 9.9040,  0.5982,  9.9220,  0.4854,  0.3116,  0.5766,  9.8777,  0.5962,  9.8956,  0.3380,  0.2778,  0.4373, driving
 9.9821,  0.4811,  9.9936,  0.3985,  0.3586,  0.5358,  9.9014,  0.4787,  9.9130, -1.1244,  0.2338,  1.1484, driving
 9.9456,  0.3952,  9.9534,  0.3866,  0.2282,  0.4488,  9.8888,  0.3959,  9.8967, -0.9041,  0.3287,  0.9618, driving
 9.9306,  0.4385,  9.9402,  0.4580,  0.2721,  0.5326,  9.8922,  0.4436,  9.9021, -0.6550,  0.2095,  0.6876, driving
 9.9300,  0.4747,  9.9413,  0.5586,  0.3124,  0.6399,  9.8861,  0.4816,  9.8978, -0.6180,  0.2683,  0.6737, driving
 9.9452,  0.5282,  9.9592,  0.5637,  0.3538,  0.6653,  9.8762,  0.5353,  9.8907, -0.8472,  0.4462,  0.9573, driving
 9.9638,  0.7218,  9.9899,  0.4748,  0.3787,  0.6071,  9.8779,  0.7281,  9.9046, -1.0875,  0.3811,  1.1522, driving
 9.9601,  0.7808,  9.9906,  0.5071,  0.3313,  0.6056,  9.8690,  0.7847,  9.9001, -1.1479,  0.3391,  1.1968, driving
 9.9372,  0.5795,  9.9541,  0.4753,  0.2945,  0.5590,  9.8443,  0.5829,  9.8615, -1.2097,  0.2418,  1.2336, driving
 9.9466,  0.4721,  9.9578,  0.3956,  0.2710,  0.4794,  9.8716,  0.4815,  9.8833, -1.0896,  0.2463,  1.1171, driving
 9.9540,  0.5707,  9.9703,  0.3616,  0.3212,  0.4834,  9.8994,  0.5798,  9.9163, -0.8666,  0.3000,  0.9169, driving
 9.9472,  0.5793,  9.9640,  0.3017,  0.4140,  0.5120,  9.9094,  0.5841,  9.9265, -0.6318,  0.2899,  0.6950, driving
 9.9383,  0.4668,  9.9493,  0.3235,  0.3637,  0.4864,  9.9120,  0.4703,  9.9231, -0.4276,  0.3172,  0.5322, driving
 9.9689,  0.4650,  9.9798,  0.4775,  0.2752,  0.5510,  9.9393,  0.4683,  9.9503, -0.4384,  0.3014,  0.5319, driving
 9.9610,  0.5065,  9.9738,  0.5801,  0.2732,  0.6411,  9.9235,  0.5086,  9.9365, -0.5088,  0.2711,  0.5764, driving
 9.9754,  1.2966, 10.0592,  0.8465,  0.4110,  0.9408,  9.8350,  1.3064,  9.9212,  0.3512,  1.3231,  1.3677, driving
10.0023,  1.3497, 10.0928,  0.5382,  0.4626,  0.7094,  9.8628,  1.3590,  9.9558, -0.2204,  1.4828,  1.4976, driving
 9.9779,  0.6180,  9.9969,  0.4559,  0.4548,  0.6436,  9.9165,  0.6213,  9.9359, -0.3403,  0.8294,  0.8957, driving
10.0880,  0.6579, 10.1094, -0.0749,  1.1401,  1.1415,  9.8957,  0.6288,  9.9156, -0.9004,  1.3307,  1.6056, driving
10.0766,  0.5888, 10.0937, -0.3110,  0.9717,  1.0194,  9.8142,  0.5776,  9.8311, -1.7574,  1.0520,  2.0476, driving
 9.8844,  0.6607,  9.9064,  0.1683,  0.4401,  0.4708,  9.6156,  0.6848,  9.6399, -2.1133,  0.7239,  2.2336, driving
 9.8534,  0.6347,  9.8738,  0.1849,  0.5374,  0.5678,  9.6537,  0.6514,  9.6756, -1.5918,  1.0101,  1.8847, driving
 9.9147,  0.5961,  9.9325,  0.1044,  0.5048,  0.5150,  9.8248,  0.5842,  9.8421, -1.1966,  0.3030,  1.2342, driving
 9.9021,  0.6086,  9.9207,  0.4000,  0.3748,  0.5479,  9.7644,  0.5998,  9.7827, -1.5068,  0.3861,  1.5553, driving
 9.8973,  0.7362,  9.9246,  0.1633,  0.4236,  0.4536,  9.7077,  0.7118,  9.7337, -1.8441,  0.3834,  1.8835, driving
 9.8859,  0.7091,  9.9113,  0.0398,  0.3698,  0.3716,  9.6799,  0.6816,  9.7038, -1.9464,  0.3782,  1.9827, driving
 9.8731,  0.4799,  9.8847,  0.3104,  0.3478,  0.4659,  9.6922,  0.4744,  9.7038, -1.7950,  0.3230,  1.8238, driving
 9.8825,  0.4620,  9.8933,  0.4894,  0.3908,  0.6261,  9.7372,  0.4600,  9.7480, -1.5458,  0.2703,  1.5692, driving
 9.8808,  0.4488,  9.8909,  0.5110,  0.4376,  0.6725,  9.7052,  0.4452,  9.7154, -1.6956,  0.3394,  1.7291, driving
 9.8843,  0.6177,  9.9035,  0.5540,  0.3637,  0.6625,  9.6878,  0.6109,  9.7070, -1.8183,  0.3307,  1.8480, driving
 9.8829,  0.6186,  9.9022,  0.5877,  0.3651,  0.6917,  9.6608,  0.6177,  9.6805, -1.9342,  0.3502,  1.9656, driving
 9.8871,  0.7914,  9.9187,  0.5722,  0.4389,  0.7209,  9.6279,  0.7752,  9.6590, -2.1031,  0.3773,  2.1366, driving
 9.8921,  0.7403,  9.9197,  0.4265,  0.3878,  0.5762,  9.6453,  0.7223,  9.6722, -2.0935,  0.3660,  2.1252, driving
 9.8710,  0.2970,  9.8755,  0.4566,  0.2622,  0.5264,  9.6111,  0.2940,  9.6156, -2.1798,  0.1930,  2.1883, driving
 9.8586,  0.3095,  9.8634,  0.6715,  0.3021,  0.7362,  9.5620,  0.3217,  9.5674, -2.2632,  0.2979,  2.2827, driving
 9.8574,  0.3178,  9.8625,  0.7755,  0.3231,  0.8400,  9.6105,  0.3402,  9.6165, -1.9426,  0.5602,  2.0216, driving
 9.9450,  0.8197,  9.9786,  0.1757,  0.5310,  0.5588,  9.8873,  0.8124,  9.9205, -0.6418,  0.6580,  0.9187, driving
 9.9334,  0.7708,  9.9632,  0.2254,  0.3700,  0.4329,  9.8882,  0.7630,  9.9175, -0.6923,  0.4923,  0.8492, driving
 9.9355,  0.5340,  9.9498,  0.3144,  0.3610,  0.4785,  9.8963,  0.5325,  9.9106, -0.4971,  0.5513,  0.7419, driving
 9.9678,  0.7231,  9.9939,  0.4287,  0.5536,  0.6997,  9.8760,  0.5826,  9.8932, -1.0504,  0.6413,  1.2304, driving
 9.9318,  0.3894,  9.9394,  0.3803,  0.2883,  0.4771,  9.8409,  0.3870,  9.8485, -1.2214,  0.2829,  1.2537, driving
 9.9402,  0.4291,  9.9494,  0.4423,  0.3430,  0.5595,  9.8572,  0.4304,  9.8666, -1.1142,  0.2953,  1.1526, driving
 9.9405,  0.4253,  9.9495,  0.5885,  0.3532,  0.6862,  9.8767,  0.4270,  9.8860, -0.7996,  0.3891,  0.8891, driving
 9.9223,  0.5393,  9.9369, -0.0078,  0.4182,  0.4178,  9.8386,  0.5276,  9.8527, -1.0671,  0.5952,  1.2216, driving
 9.9213,  0.5079,  9.9343, -0.0813,  0.3866,  0.3947,  9.8355,  0.5008,  9.8482, -1.1488,  0.4778,  1.2440, driving
 9.9291,  0.4679,  9.9401, -0.1094,  0.2833,  0.3034,  9.7939,  0.4618,  9.8048, -1.5351,  0.4723,  1.6060, driving
 9.9124,  0.4373,  9.9220, -0.0822,  0.2109,  0.2262,  9.8543,  0.4347,  9.8639, -0.9531,  0.4365,  1.0482, driving
 9.9191,  0.5158,  9.9325, -0.0837,  0.2145,  0.2301,  9.8945,  0.5130,  9.9078, -0.5911,  0.2970,  0.6614, driving
 9.9250,  0.5333,  9.9392,  0.1026,  0.2867,  0.3043,  9.8930,  0.5311,  9.9073, -0.6719,  0.3020,  0.7365, driving
 9.9446,  0.4197,  9.9535, -0.0277,  0.2874,  0.2884,  9.8561,  0.4136,  9.8648, -1.2715,  0.2401,  1.2939, driving
 9.9108,  0.4004,  9.9188, -0.0998,  0.2280,  0.2487,  9.8454,  0.3965,  9.8534, -1.0837,  0.2422,  1.1104, driving
 9.8974,  0.3776,  9.9046, -0.1382,  0.2256,  0.2644,  9.8491,  0.3754,  9.8562, -0.9281,  0.1531,  0.9406, driving
 9.9007,  0.3839,  9.9082, -0.1302,  0.2453,  0.2775,  9.8510,  0.3815,  9.8583, -0.9392,  0.1595,  0.9527, driving
 9.9170,  0.4011,  9.9251, -0.0920,  0.2759,  0.2906,  9.8693,  0.4002,  9.8774, -0.8961,  0.2408,  0.9278, driving
 9.9442,  0.6153,  9.9632, -0.0957,  0.3629,  0.3750,  9.9072,  0.6158,  9.9263, -0.7071,  0.3079,  0.7711, driving
 9.9312,  0.7142,  9.9568, -0.0101,  0.4377,  0.4374,  9.8921,  0.7163,  9.9179, -0.6999,  0.3034,  0.7627, driving
 9.9088,  0.5400,  9.9235,  0.0946,  0.3623,  0.3741,  9.8595,  0.5439,  9.8744, -0.8802,  0.2381,  0.9118, driving
 9.9179,  0.4042,  9.9261, -0.0502,  0.2855,  0.2896,  9.8730,  0.4094,  9.8815, -0.8684,  0.2126,  0.8940, driving
 9.9082,  0.3875,  9.9158, -0.0508,  0.2423,  0.2474,  9.8735,  0.3917,  9.8812, -0.7623,  0.2061,  0.7896, driving
 9.9171,  0.3921,  9.9248,  0.1107,  0.3046,  0.3238,  9.8692,  0.3922,  9.8770, -0.8860,  0.2375,  0.9172, driving
 9.9158,  0.4158,  9.9245,  0.1637,  0.2739,  0.3188,  9.8632,  0.4165,  9.8720, -0.9462,  0.2051,  0.9681, driving
